,date,updated_at,price
387,27 Jul 2021,Midday,1160.0
388,26 Jul 2021,Closing,1145.0
389,26 Jul 2021,Midday,1130.0
390,23 Jul 2021,Closing,1130.0
391,23 Jul 2021,Midday,1120.0
392,22 Jul 2021,Closing,1095.0
393,22 Jul 2021,Midday,1090.0
394,21 Jul 2021,Closing,1100.0
395,21 Jul 2021,Midday,1090.0
396,19 Jul 2021,Midday,1105.0
397,16 Jul 2021,Closing,1100.0
398,16 Jul 2021,Midday,1090.0
399,15 Jul 2021,Closing,1090.0
400,15 Jul 2021,Midday,1080.0
401,14 Jul 2021,Closing,1062.5
402,14 Jul 2021,Midday,1050.0
403,13 Jul 2021,Closing,1055.0
404,13 Jul 2021,Midday,1040.0
405,12 Jul 2021,Closing,1035.0
406,12 Jul 2021,Midday,1040.0
407,9 Jul 2021,Closing,1045.0
408,9 Jul 2021,Midday,1035.0
409,8 Jul 2021,Closing,1025.0
410,8 Jul 2021,Midday,1025.0
411,7 Jul 2021,Closing,1025.0
412,7 Jul 2021,Midday,1030.0
413,6 Jul 2021,Closing,1045.0
414,6 Jul 2021,Midday,1060.0
415,5 Jul 2021,Closing,1042.5
416,5 Jul 2021,Midday,1040.0
417,2 Jul 2021,Closing,1035.0
418,2 Jul 2021,Midday,1020.0
419,1 Jul 2021,Closing,1010.0
420,1 Jul 2021,Midday,1035.0
421,30 June 2021,Closing,1005.0
422,30 June 2021,Midday,1015.0
423,29 June 2021,Closing,1000.0
424,29 June 2021,Midday,980.0
425,28 June 2021,Closing,995.0
426,28 June 2021,Midday,985.0
427,25 June 2021,Closing,995.0
428,25 June 2021,Midday,975.0
429,24 June 2021,Closing,975.0
430,24 June 2021,Midday,975.0
431,23 June 2021,Closing,975.0
432,23 June 2021,Midday,980.0
433,22 June 2021,Closing,950.0
434,22 June 2021,Midday,970.0
435,21 June 2021,Closing,952.5
436,21 June 2021,Midday,940.0
437,18 June 2021,Closing,960.0
438,18 June 2021,Midday,930.0
439,17 June 2021,Closing,940.0
440,17 June 2021,Midday,950.0
441,16 June 2021,Closing,950.0
442,16 June 2021,Midday,935.0
443,15 June 2021,Closing,957.5
444,15 June 2021,Midday,965.0
445,14 June 2021,Closing,955.0
446,14 June 2021,Midday,955.0
447,11 June 2021,Closing,1005.0
448,11 June 2021,Midday,1030.0
449,10 June 2021,Closing,1050.0
450,10 June 2021,Midday,1050.0
451,4 June 2021,Midday,1100.0
452,3 June 2021,Closing,1107.5
453,3 June 2021,Midday,1115.0
454,2 June 2021,Closing,1100.0
455,2 June 2021,Midday,1070.0
456,1 June 2021,Closing,1045.0
457,1 June 2021,Midday,1060.0
458,31 May 2021,Closing,1070.0
459,31 May 2021,Midday,1095.0
460,28 May 2021,Closing,1115.0
461,28 May 2021,Midday,1125.0
462,27 May 2021,Midday,1105.0
463,25 May 2021,Closing,1130.0
464,25 May 2021,Midday,1125.0
465,24 May 2021,Closing,1110.0
466,24 May 2021,Midday,1130.0
467,21 May 2021,Closing,1135.0
468,21 May 2021,Midday,1155.0
469,20 May 2021,Closing,1155.0
470,20 May 2021,Midday,1175.0
471,19 May 2021,Midday,1220.0
472,19 May 2021,Midday,1225.0
473,18 May 2021,Closing,1235.0
474,18 May 2021,Midday,1235.0
475,17 May 2021,Closing,1225.0
476,17 May 2021,Midday,1220.0
477,12 May 2021,Midday,1225.0
478,11 May 2021,Closing,1220.0
479,11 May 2021,Midday,1220.0
480,10 May 2021,Closing,1217.5
481,3 May 2021,Closing,1165.0
482,3 May 2021,Midday,1160.0
483,30 Apr 2021,Closing,1125.0
484,30 Apr 2021,Midday,1125.0
485,26 Apr 2021,Midday,1120.0
486,23 Apr 2021,Closing,1125.0
487,23 Apr 2021,Midday,1142.5
488,22 Apr 2021,Closing,1137.5
489,22 Apr 2021,Midday,1130.0
490,21 Apr 2021,Closing,1110.0
491,21 Apr 2021,Midday,1110.0
492,20 Apr 2021,Closing,108.0
493,20 Apr 2021,Midday,1065.0
494,19 Apr 2021,Closing,1060.0
495,19 Apr 2021,Midday,1052.5
496,16 Apr 2021,Closing,1085.0
497,16 Apr 2021,Midday,1082.5
498,15 Apr 2021,Midday,1075.0
499,15 Apr 2021,Midday,1075.0
500,14 Apr 2021,Closing,1065.0
501,14 Apr 2021,Midday,1060.0
502,13 Apr 2021,Closing,1070.0
503,13 Apr 2021,Midday,1065.0
504,12 Apr 2021,Closing,1060.0
505,12 Apr 2021,Midday,1070.0
506,5 Apr 2021,Closing,1045.0
507,5 Apr 2021,Midday,1050.0
508,2 Apr 2021,Closing,1040.0
509,2 Apr 2021,Midday,1040.0
510,1 Apr 2021,Closing,1040.0
511,31 Mar 2021,Closing,1015.0
512,31 Mar 2021,Midday,1002.5
513,30 Mar 2021,Closing,1000.0
514,30 Mar 2021,Midday,1022.5
515,29 Mar 2021,Closing,1015.0
516,26 Mar 2021,Closing,1025.0
517,26 Mar 2021,Midday,1020.0
518,25 Mar 2021,Closing,1055.0
519,25 Mar 2021,Midday,1075.0
520,24 Mar 2021,Closing,1075.0
521,24 Mar 2021,Midday,1065.0
522,23 Mar 2021,Closing,1080.0
523,23 Mar 2021,Midday,1080.0
524,22 Mar 2021,Closing,1060.0
525,22 Mar 2021,Midday,1045.0
526,19 Mar 2021,Closing,1040.0
527,19 Mar 2021,Midday,1040.0
528,18 Mar 2021,Closing,1055.0
529,18 Mar 2021,Midday,1060.0
530,17 Mar 2021,Closing,1070.0
531,17 Mar 2021,Midday,1065.0
532,16 Mar 2021,Closing,1075.0
533,16 Mar 2021,Midday,1085.0
534,15 Mar 2021,Closing,1085.0
535,15 Mar 2021,Midday,1080.0
536,12 Mar 2021,Closing,1080.0
537,12 Mar 2021,Midday,1070.0
538,11 Mar 2021,Closing,1060.0
539,11 Mar 2021,Midday,1045.0
540,10 Mar 2021,Closing,1040.0
541,10 Mar 2021,Midday,1030.0
542,8 Mar 2021,Midday,1035.0
543,5 Mar 2021,Closing,1020.0
544,5 Mar 2021,Midday,1020.0
545,4 Mar 2021,Closing,1010.0
546,4 Mar 2021,Midday,1015.0
547,3 Mar 2021,Closing,1005.0
548,3 Mar 2021,Midday,995.0
549,2 Mar 2021,Closing,1005.0
550,2 Mar 2021,Midday,1007.5
551,1 Mar 2021,Closing,1017.5
552,1 Mar 2021,Midday,1037.5
553,26 Feb 2021,Closing,1030.0
554,26 Feb 2021,Midday,1032.5
